id,name,category,status
110,Prod_110,Cat_0,inactive
111,Prod_111,Cat_1,active
112,Prod_112,Cat_2,active
113,Prod_113,Cat_3,active
114,Prod_114,Cat_4,active
115,Prod_115,Cat_0,active
116,Prod_116,Cat_1,active
117,Prod_117,Cat_2,active
118,Prod_118,Cat_3,active
119,Prod_119,Cat_4,active
120,Prod_120,Cat_0,inactive
121,Prod_121,Cat_1,active
122,Prod_122,Cat_2,active
123,Prod_123,Cat_3,active
124,Prod_124,Cat_4,active
125,Prod_125,Cat_0,active
126,Prod_126,Cat_1,active
127,Prod_127,Cat_2,active
128,Prod_128,Cat_3,active
129,Prod_129,Cat_4,active
130,Prod_130,Cat_0,inactive
131,Prod_131,Cat_1,active
132,Prod_132,Cat_2,active
133,Prod_133,Cat_3,active
134,Prod_134,Cat_4,active
135,Prod_135,Cat_0,active
136,Prod_136,Cat_1,active
137,Prod_137,Cat_2,active
138,Prod_138,Cat_3,active
139,Prod_139,Cat_4,active
140,Prod_140,Cat_0,inactive
141,Prod_141,Cat_1,active
142,Prod_142,Cat_2,active
143,Prod_143,Cat_3,active
144,Prod_144,Cat_4,active
145,Prod_145,Cat_0,active
146,Prod_146,Cat_1,active
147,Prod_147,Cat_2,active
148,Prod_148,Cat_3,active
149,Prod_149,Cat_4,active
150,Prod_150,Cat_0,inactive
151,Prod_151,Cat_1,active
152,Prod_152,Cat_2,active
153,Prod_153,Cat_3,active
154,Prod_154,Cat_4,active
155,Prod_155,Cat_0,active
156,Prod_156,Cat_1,active
157,Prod_157,Cat_2,active
158,Prod_158,Cat_3,active
159,Prod_159,Cat_4,active
160,Prod_160,Cat_0,inactive
161,Prod_161,Cat_1,active
162,Prod_162,Cat_2,active
163,Prod_163,Cat_3,active
164,Prod_164,Cat_4,active
165,Prod_165,Cat_0,active
166,Prod_166,Cat_1,active
167,Prod_167,Cat_2,active
168,Prod_168,Cat_3,active
169,Prod_169,Cat_4,active
170,Prod_170,Cat_0,inactive
171,Prod_171,Cat_1,active
172,Prod_172,Cat_2,active
173,Prod_173,Cat_3,active
174,Prod_174,Cat_4,active
175,Prod_175,Cat_0,active
176,Prod_176,Cat_1,active
177,Prod_177,Cat_2,active
178,Prod_178,Cat_3,active
179,Prod_179,Cat_4,active
180,Prod_180,Cat_0,inactive
181,Prod_181,Cat_1,active
182,Prod_182,Cat_2,active
183,Prod_183,Cat_3,active
184,Prod_184,Cat_4,active
185,Prod_185,Cat_0,active
186,Prod_186,Cat_1,active
187,Prod_187,Cat_2,active
188,Prod_188,Cat_3,active
189,Prod_189,Cat_4,active
190,Prod_190,Cat_0,inactive
191,Prod_191,Cat_1,active
192,Prod_192,Cat_2,active
193,Prod_193,Cat_3,active
194,Prod_194,Cat_4,active
195,Prod_195,Cat_0,active
196,Prod_196,Cat_1,active
197,Prod_197,Cat_2,active
198,Prod_198,Cat_3,active
199,Prod_199,Cat_4,active
200,Prod_200,Cat_0,inactive
201,Prod_201,Cat_1,active
202,Prod_202,Cat_2,active
203,Prod_203,Cat_3,active
204,Prod_204,Cat_4,active
205,Prod_205,Cat_0,active
206,Prod_206,Cat_1,active
207,Prod_207,Cat_2,active
208,Prod_208,Cat_3,active
209,Prod_209,Cat_4,active
210,Prod_210,Cat_0,inactive
211,Prod_211,Cat_1,active
212,Prod_212,Cat_2,active
213,Prod_213,Cat_3,active
214,Prod_214,Cat_4,active
215,Prod_215,Cat_0,active
216,Prod_216,Cat_1,active
217,Prod_217,Cat_2,active
218,Prod_218,Cat_3,active
219,Prod_219,Cat_4,active
220,Prod_220,Cat_0,inactive
221,Prod_221,Cat_1,active
222,Prod_222,Cat_2,active
223,Prod_223,Cat_3,active
224,Prod_224,Cat_4,active
225,Prod_225,Cat_0,active
226,Prod_226,Cat_1,active
227,Prod_227,Cat_2,active
228,Prod_228,Cat_3,active
229,Prod_229,Cat_4,active
230,Prod_230,Cat_0,inactive
231,Prod_231,Cat_1,active
232,Prod_232,Cat_2,active
233,Prod_233,Cat_3,active
234,Prod_234,Cat_4,active
235,Prod_235,Cat_0,active
236,Prod_236,Cat_1,active
237,Prod_237,Cat_2,active
238,Prod_238,Cat_3,active
239,Prod_239,Cat_4,active
240,Prod_240,Cat_0,inactive
241,Prod_241,Cat_1,active
242,Prod_242,Cat_2,active
243,Prod_243,Cat_3,active
244,Prod_244,Cat_4,active
245,Prod_245,Cat_0,active
246,Prod_246,Cat_1,active
247,Prod_247,Cat_2,active
248,Prod_248,Cat_3,active
249,Prod_249,Cat_4,active
250,Prod_250,Cat_0,inactive
251,Prod_251,Cat_1,active
252,Prod_252,Cat_2,active
253,Prod_253,Cat_3,active
254,Prod_254,Cat_4,active
255,Prod_255,Cat_0,active
256,Prod_256,Cat_1,active
257,Prod_257,Cat_2,active
258,Prod_258,Cat_3,active
259,Prod_259,Cat_4,active
260,Prod_260,Cat_0,inactive
261,Prod_261,Cat_1,active
262,Prod_262,Cat_2,active
263,Prod_263,Cat_3,active
264,Prod_264,Cat_4,active
265,Prod_265,Cat_0,active
266,Prod_266,Cat_1,active
267,Prod_267,Cat_2,active
268,Prod_268,Cat_3,active
269,Prod_269,Cat_4,active
270,Prod_270,Cat_0,inactive
271,Prod_271,Cat_1,active
272,Prod_272,Cat_2,active
273,Prod_273,Cat_3,active
274,Prod_274,Cat_4,active
275,Prod_275,Cat_0,active
276,Prod_276,Cat_1,active
277,Prod_277,Cat_2,active
278,Prod_278,Cat_3,active
279,Prod_279,Cat_4,active
280,Prod_280,Cat_0,inactive
281,Prod_281,Cat_1,active
282,Prod_282,Cat_2,active
283,Prod_283,Cat_3,active
284,Prod_284,Cat_4,active
285,Prod_285,Cat_0,active
286,Prod_286,Cat_1,active
287,Prod_287,Cat_2,active
288,Prod_288,Cat_3,active
289,Prod_289,Cat_4,active
290,Prod_290,Cat_0,inactive
291,Prod_291,Cat_1,active
292,Prod_292,Cat_2,active
293,Prod_293,Cat_3,active
294,Prod_294,Cat_4,active
295,Prod_295,Cat_0,active
296,Prod_296,Cat_1,active
297,Prod_297,Cat_2,active
298,Prod_298,Cat_3,active
299,Prod_299,Cat_4,active
300,Prod_300,Cat_0,inactive
301,Prod_301,Cat_1,active
302,Prod_302,Cat_2,active
303,Prod_303,Cat_3,active
304,Prod_304,Cat_4,active
305,Prod_305,Cat_0,active
306,Prod_306,Cat_1,active
307,Prod_307,Cat_2,active
308,Prod_308,Cat_3,active
309,Prod_309,Cat_4,active
310,Prod_310,Cat_0,inactive
311,Prod_311,Cat_1,active
312,Prod_312,Cat_2,active
313,Prod_313,Cat_3,active
314,Prod_314,Cat_4,active
315,Prod_315,Cat_0,active
316,Prod_316,Cat_1,active
317,Prod_317,Cat_2,active
318,Prod_318,Cat_3,active
319,Prod_319,Cat_4,active
320,Prod_320,Cat_0,inactive
321,Prod_321,Cat_1,active
322,Prod_322,Cat_2,active
323,Prod_323,Cat_3,active
324,Prod_324,Cat_4,active
325,Prod_325,Cat_0,active
326,Prod_326,Cat_1,active
327,Prod_327,Cat_2,active
328,Prod_328,Cat_3,active
329,Prod_329,Cat_4,active
330,Prod_330,Cat_0,inactive
331,Prod_331,Cat_1,active
332,Prod_332,Cat_2,active
333,Prod_333,Cat_3,active
334,Prod_334,Cat_4,active
335,Prod_335,Cat_0,active
336,Prod_336,Cat_1,active
337,Prod_337,Cat_2,active
338,Prod_338,Cat_3,active
339,Prod_339,Cat_4,active
340,Prod_340,Cat_0,inactive
341,Prod_341,Cat_1,active
342,Prod_342,Cat_2,active
343,Prod_343,Cat_3,active
344,Prod_344,Cat_4,active
345,Prod_345,Cat_0,active
346,Prod_346,Cat_1,active
347,Prod_347,Cat_2,active
348,Prod_348,Cat_3,active
349,Prod_349,Cat_4,active
350,Prod_350,Cat_0,inactive
351,Prod_351,Cat_1,active
352,Prod_352,Cat_2,active
353,Prod_353,Cat_3,active
354,Prod_354,Cat_4,active
355,Prod_355,Cat_0,active
356,Prod_356,Cat_1,active
357,Prod_357,Cat_2,active
358,Prod_358,Cat_3,active
359,Prod_359,Cat_4,active
360,Prod_360,Cat_0,inactive
361,Prod_361,Cat_1,active
362,Prod_362,Cat_2,active
363,Prod_363,Cat_3,active
364,Prod_364,Cat_4,active
365,Prod_365,Cat_0,active
366,Prod_366,Cat_1,active
367,Prod_367,Cat_2,active
368,Prod_368,Cat_3,active
369,Prod_369,Cat_4,active
370,Prod_370,Cat_0,inactive
371,Prod_371,Cat_1,active
372,Prod_372,Cat_2,active
373,Prod_373,Cat_3,active
374,Prod_374,Cat_4,active
375,Prod_375,Cat_0,active
376,Prod_376,Cat_1,active
377,Prod_377,Cat_2,active
378,Prod_378,Cat_3,active
379,Prod_379,Cat_4,active
380,Prod_380,Cat_0,inactive
381,Prod_381,Cat_1,active
382,Prod_382,Cat_2,active
383,Prod_383,Cat_3,active
384,Prod_384,Cat_4,active
385,Prod_385,Cat_0,active
386,Prod_386,Cat_1,active
387,Prod_387,Cat_2,active
388,Prod_388,Cat_3,active
389,Prod_389,Cat_4,active
390,Prod_390,Cat_0,inactive
391,Prod_391,Cat_1,active
392,Prod_392,Cat_2,active
393,Prod_393,Cat_3,active
394,Prod_394,Cat_4,active
395,Prod_395,Cat_0,active
396,Prod_396,Cat_1,active
397,Prod_397,Cat_2,active
398,Prod_398,Cat_3,active
399,Prod_399,Cat_4,active
400,Prod_400,Cat_0,inactive
401,Prod_401,Cat_1,active
402,Prod_402,Cat_2,active
403,Prod_403,Cat_3,active
404,Prod_404,Cat_4,active
405,Prod_405,Cat_0,active
406,Prod_406,Cat_1,active
407,Prod_407,Cat_2,active
408,Prod_408,Cat_3,active
409,Prod_409,Cat_4,active
410,Prod_410,Cat_0,inactive
411,Prod_411,Cat_1,active
412,Prod_412,Cat_2,active
413,Prod_413,Cat_3,active
414,Prod_414,Cat_4,active
415,Prod_415,Cat_0,active
416,Prod_416,Cat_1,active
417,Prod_417,Cat_2,active
418,Prod_418,Cat_3,active
419,Prod_419,Cat_4,active
420,Prod_420,Cat_0,inactive
421,Prod_421,Cat_1,active
422,Prod_422,Cat_2,active
423,Prod_423,Cat_3,active
424,Prod_424,Cat_4,active
425,Prod_425,Cat_0,active
426,Prod_426,Cat_1,active
427,Prod_427,Cat_2,active
428,Prod_428,Cat_3,active
429,Prod_429,Cat_4,active
430,Prod_430,Cat_0,inactive
431,Prod_431,Cat_1,active
432,Prod_432,Cat_2,active
433,Prod_433,Cat_3,active
434,Prod_434,Cat_4,active
435,Prod_435,Cat_0,active
436,Prod_436,Cat_1,active
437,Prod_437,Cat_2,active
438,Prod_438,Cat_3,active
439,Prod_439,Cat_4,active
440,Prod_440,Cat_0,inactive
441,Prod_441,Cat_1,active
442,Prod_442,Cat_2,active
443,Prod_443,Cat_3,active
444,Prod_444,Cat_4,active
445,Prod_445,Cat_0,active
446,Prod_446,Cat_1,active
447,Prod_447,Cat_2,active
448,Prod_448,Cat_3,active
449,Prod_449,Cat_4,active
450,Prod_450,Cat_0,inactive
451,Prod_451,Cat_1,active
452,Prod_452,Cat_2,active
453,Prod_453,Cat_3,active
454,Prod_454,Cat_4,active
455,Prod_455,Cat_0,active
456,Prod_456,Cat_1,active
457,Prod_457,Cat_2,active
458,Prod_458,Cat_3,active
459,Prod_459,Cat_4,active
460,Prod_460,Cat_0,inactive
461,Prod_461,Cat_1,active
462,Prod_462,Cat_2,active
463,Prod_463,Cat_3,active
464,Prod_464,Cat_4,active
465,Prod_465,Cat_0,active
466,Prod_466,Cat_1,active
467,Prod_467,Cat_2,active
468,Prod_468,Cat_3,active
469,Prod_469,Cat_4,active
470,Prod_470,Cat_0,inactive
471,Prod_471,Cat_1,active
472,Prod_472,Cat_2,active
473,Prod_473,Cat_3,active
474,Prod_474,Cat_4,active
475,Prod_475,Cat_0,active
476,Prod_476,Cat_1,active
477,Prod_477,Cat_2,active
478,Prod_478,Cat_3,active
479,Prod_479,Cat_4,active
480,Prod_480,Cat_0,inactive
481,Prod_481,Cat_1,active
482,Prod_482,Cat_2,active
483,Prod_483,Cat_3,active
484,Prod_484,Cat_4,active
485,Prod_485,Cat_0,active
486,Prod_486,Cat_1,active
487,Prod_487,Cat_2,active
488,Prod_488,Cat_3,active
489,Prod_489,Cat_4,active
490,Prod_490,Cat_0,inactive
491,Prod_491,Cat_1,active
492,Prod_492,Cat_2,active
493,Prod_493,Cat_3,active
494,Prod_494,Cat_4,active
495,Prod_495,Cat_0,active
496,Prod_496,Cat_1,active
497,Prod_497,Cat_2,active
498,Prod_498,Cat_3,active
499,Prod_499,Cat_4,active
500,Prod_500,Cat_0,inactive
501,Prod_501,Cat_1,active
502,Prod_502,Cat_2,active
503,Prod_503,Cat_3,active
504,Prod_504,Cat_4,active
505,Prod_505,Cat_0,active
506,Prod_506,Cat_1,active
507,Prod_507,Cat_2,active
508,Prod_508,Cat_3,active
509,Prod_509,Cat_4,active
510,Prod_510,Cat_0,inactive
511,Prod_511,Cat_1,active
512,Prod_512,Cat_2,active
513,Prod_513,Cat_3,active
514,Prod_514,Cat_4,active
515,Prod_515,Cat_0,active
516,Prod_516,Cat_1,active
517,Prod_517,Cat_2,active
518,Prod_518,Cat_3,active
519,Prod_519,Cat_4,active
520,Prod_520,Cat_0,inactive
521,Prod_521,Cat_1,active
522,Prod_522,Cat_2,active
523,Prod_523,Cat_3,active
524,Prod_524,Cat_4,active
525,Prod_525,Cat_0,active
526,Prod_526,Cat_1,active
527,Prod_527,Cat_2,active
528,Prod_528,Cat_3,active
529,Prod_529,Cat_4,active
530,Prod_530,Cat_0,inactive
531,Prod_531,Cat_1,active
532,Prod_532,Cat_2,active
533,Prod_533,Cat_3,active
534,Prod_534,Cat_4,active
535,Prod_535,Cat_0,active
536,Prod_536,Cat_1,active
537,Prod_537,Cat_2,active
538,Prod_538,Cat_3,active
539,Prod_539,Cat_4,active
540,Prod_540,Cat_0,inactive
541,Prod_541,Cat_1,active
542,Prod_542,Cat_2,active
543,Prod_543,Cat_3,active
544,Prod_544,Cat_4,active
545,Prod_545,Cat_0,active
546,Prod_546,Cat_1,active
547,Prod_547,Cat_2,active
548,Prod_548,Cat_3,active
549,Prod_549,Cat_4,active
550,Prod_550,Cat_0,inactive
551,Prod_551,Cat_1,active
552,Prod_552,Cat_2,active
553,Prod_553,Cat_3,active
554,Prod_554,Cat_4,active
555,Prod_555,Cat_0,active
556,Prod_556,Cat_1,active
557,Prod_557,Cat_2,active
558,Prod_558,Cat_3,active
559,Prod_559,Cat_4,active
560,Prod_560,Cat_0,inactive
561,Prod_561,Cat_1,active
562,Prod_562,Cat_2,active
563,Prod_563,Cat_3,active
564,Prod_564,Cat_4,active
565,Prod_565,Cat_0,active
566,Prod_566,Cat_1,active
567,Prod_567,Cat_2,active
568,Prod_568,Cat_3,active
569,Prod_569,Cat_4,active
570,Prod_570,Cat_0,inactive
571,Prod_571,Cat_1,active
572,Prod_572,Cat_2,active
573,Prod_573,Cat_3,active
574,Prod_574,Cat_4,active
575,Prod_575,Cat_0,active
576,Prod_576,Cat_1,active
577,Prod_577,Cat_2,active
578,Prod_578,Cat_3,active
579,Prod_579,Cat_4,active
580,Prod_580,Cat_0,inactive
581,Prod_581,Cat_1,active
582,Prod_582,Cat_2,active
583,Prod_583,Cat_3,active
584,Prod_584,Cat_4,active
585,Prod_585,Cat_0,active
586,Prod_586,Cat_1,active
587,Prod_587,Cat_2,active
588,Prod_588,Cat_3,active
589,Prod_589,Cat_4,active
590,Prod_590,Cat_0,inactive
591,Prod_591,Cat_1,active
592,Prod_592,Cat_2,active
593,Prod_593,Cat_3,active
594,Prod_594,Cat_4,active
595,Prod_595,Cat_0,active
596,Prod_596,Cat_1,active
597,Prod_597,Cat_2,active
598,Prod_598,Cat_3,active
599,Prod_599,Cat_4,active
600,Prod_600,Cat_0,inactive
601,Prod_601,Cat_1,active
602,Prod_602,Cat_2,active
603,Prod_603,Cat_3,active
604,Prod_604,Cat_4,active
605,Prod_605,Cat_0,active
606,Prod_606,Cat_1,active
607,Prod_607,Cat_2,active
608,Prod_608,Cat_3,active
609,Prod_609,Cat_4,active
610,Prod_610,Cat_0,inactive
611,Prod_611,Cat_1,active
612,Prod_612,Cat_2,active
613,Prod_613,Cat_3,active
614,Prod_614,Cat_4,active
615,Prod_615,Cat_0,active
616,Prod_616,Cat_1,active
617,Prod_617,Cat_2,active
618,Prod_618,Cat_3,active
619,Prod_619,Cat_4,active
620,Prod_620,Cat_0,inactive
621,Prod_621,Cat_1,active
622,Prod_622,Cat_2,active
623,Prod_623,Cat_3,active
624,Prod_624,Cat_4,active
625,Prod_625,Cat_0,active
626,Prod_626,Cat_1,active
627,Prod_627,Cat_2,active
628,Prod_628,Cat_3,active
629,Prod_629,Cat_4,active
630,Prod_630,Cat_0,inactive
631,Prod_631,Cat_1,active
632,Prod_632,Cat_2,active
633,Prod_633,Cat_3,active
634,Prod_634,Cat_4,active
635,Prod_635,Cat_0,active
636,Prod_636,Cat_1,active
637,Prod_637,Cat_2,active
638,Prod_638,Cat_3,active
639,Prod_639,Cat_4,active
640,Prod_640,Cat_0,inactive
641,Prod_641,Cat_1,active
642,Prod_642,Cat_2,active
643,Prod_643,Cat_3,active
644,Prod_644,Cat_4,active
645,Prod_645,Cat_0,active
646,Prod_646,Cat_1,active
647,Prod_647,Cat_2,active
648,Prod_648,Cat_3,active
649,Prod_649,Cat_4,active
650,Prod_650,Cat_0,inactive
651,Prod_651,Cat_1,active
652,Prod_652,Cat_2,active
653,Prod_653,Cat_3,active
654,Prod_654,Cat_4,active
655,Prod_655,Cat_0,active
656,Prod_656,Cat_1,active
657,Prod_657,Cat_2,active
658,Prod_658,Cat_3,active
659,Prod_659,Cat_4,active
660,Prod_660,Cat_0,inactive
661,Prod_661,Cat_1,active
662,Prod_662,Cat_2,active
663,Prod_663,Cat_3,active
664,Prod_664,Cat_4,active
665,Prod_665,Cat_0,active
666,Prod_666,Cat_1,active
667,Prod_667,Cat_2,active
668,Prod_668,Cat_3,active
669,Prod_669,Cat_4,active
670,Prod_670,Cat_0,inactive
671,Prod_671,Cat_1,active
672,Prod_672,Cat_2,active
673,Prod_673,Cat_3,active
674,Prod_674,Cat_4,active
675,Prod_675,Cat_0,active
676,Prod_676,Cat_1,active
677,Prod_677,Cat_2,active
678,Prod_678,Cat_3,active
679,Prod_679,Cat_4,active
680,Prod_680,Cat_0,inactive
681,Prod_681,Cat_1,active
682,Prod_682,Cat_2,active
683,Prod_683,Cat_3,active
684,Prod_684,Cat_4,active
685,Prod_685,Cat_0,active
686,Prod_686,Cat_1,active
687,Prod_687,Cat_2,active
688,Prod_688,Cat_3,active
689,Prod_689,Cat_4,active
690,Prod_690,Cat_0,inactive
691,Prod_691,Cat_1,active
692,Prod_692,Cat_2,active
693,Prod_693,Cat_3,active
694,Prod_694,Cat_4,active
695,Prod_695,Cat_0,active
696,Prod_696,Cat_1,active
697,Prod_697,Cat_2,active
698,Prod_698,Cat_3,active
699,Prod_699,Cat_4,active
700,Prod_700,Cat_0,inactive
701,Prod_701,Cat_1,active
702,Prod_702,Cat_2,active
703,Prod_703,Cat_3,active
704,Prod_704,Cat_4,active
705,Prod_705,Cat_0,active
706,Prod_706,Cat_1,active
707,Prod_707,Cat_2,active
708,Prod_708,Cat_3,active
709,Prod_709,Cat_4,active
710,Prod_710,Cat_0,inactive
711,Prod_711,Cat_1,active
712,Prod_712,Cat_2,active
713,Prod_713,Cat_3,active
714,Prod_714,Cat_4,active
715,Prod_715,Cat_0,active
716,Prod_716,Cat_1,active
717,Prod_717,Cat_2,active
718,Prod_718,Cat_3,active
719,Prod_719,Cat_4,active
720,Prod_720,Cat_0,inactive
721,Prod_721,Cat_1,active
722,Prod_722,Cat_2,active
723,Prod_723,Cat_3,active
724,Prod_724,Cat_4,active
725,Prod_725,Cat_0,active
726,Prod_726,Cat_1,active
727,Prod_727,Cat_2,active
728,Prod_728,Cat_3,active
729,Prod_729,Cat_4,active
730,Prod_730,Cat_0,inactive
731,Prod_731,Cat_1,active
732,Prod_732,Cat_2,active
733,Prod_733,Cat_3,active
734,Prod_734,Cat_4,active
735,Prod_735,Cat_0,active
736,Prod_736,Cat_1,active
737,Prod_737,Cat_2,active
738,Prod_738,Cat_3,active
739,Prod_739,Cat_4,active
740,Prod_740,Cat_0,inactive
741,Prod_741,Cat_1,active
742,Prod_742,Cat_2,active
743,Prod_743,Cat_3,active
744,Prod_744,Cat_4,active
745,Prod_745,Cat_0,active
746,Prod_746,Cat_1,active
747,Prod_747,Cat_2,active
748,Prod_748,Cat_3,active
749,Prod_749,Cat_4,active
750,Prod_750,Cat_0,inactive
751,Prod_751,Cat_1,active
752,Prod_752,Cat_2,active
753,Prod_753,Cat_3,active
754,Prod_754,Cat_4,active
755,Prod_755,Cat_0,active
756,Prod_756,Cat_1,active
757,Prod_757,Cat_2,active
758,Prod_758,Cat_3,active
759,Prod_759,Cat_4,active
760,Prod_760,Cat_0,inactive
761,Prod_761,Cat_1,active
762,Prod_762,Cat_2,active
763,Prod_763,Cat_3,active
764,Prod_764,Cat_4,active
765,Prod_765,Cat_0,active
766,Prod_766,Cat_1,active
767,Prod_767,Cat_2,active
768,Prod_768,Cat_3,active
769,Prod_769,Cat_4,active
770,Prod_770,Cat_0,inactive
771,Prod_771,Cat_1,active
772,Prod_772,Cat_2,active
773,Prod_773,Cat_3,active
774,Prod_774,Cat_4,active
775,Prod_775,Cat_0,active
776,Prod_776,Cat_1,active
777,Prod_777,Cat_2,active
778,Prod_778,Cat_3,active
779,Prod_779,Cat_4,active
780,Prod_780,Cat_0,inactive
781,Prod_781,Cat_1,active
782,Prod_782,Cat_2,active
783,Prod_783,Cat_3,active
784,Prod_784,Cat_4,active
785,Prod_785,Cat_0,active
786,Prod_786,Cat_1,active
787,Prod_787,Cat_2,active
788,Prod_788,Cat_3,active
789,Prod_789,Cat_4,active
790,Prod_790,Cat_0,inactive
791,Prod_791,Cat_1,active
792,Prod_792,Cat_2,active
793,Prod_793,Cat_3,active
794,Prod_794,Cat_4,active
795,Prod_795,Cat_0,active
796,Prod_796,Cat_1,active
797,Prod_797,Cat_2,active
798,Prod_798,Cat_3,active
799,Prod_799,Cat_4,active
800,Prod_800,Cat_0,inactive
801,Prod_801,Cat_1,active
802,Prod_802,Cat_2,active
803,Prod_803,Cat_3,active
804,Prod_804,Cat_4,active
805,Prod_805,Cat_0,active
806,Prod_806,Cat_1,active
807,Prod_807,Cat_2,active
808,Prod_808,Cat_3,active
809,Prod_809,Cat_4,active
810,Prod_810,Cat_0,inactive
811,Prod_811,Cat_1,active
812,Prod_812,Cat_2,active
813,Prod_813,Cat_3,active
814,Prod_814,Cat_4,active
815,Prod_815,Cat_0,active
816,Prod_816,Cat_1,active
817,Prod_817,Cat_2,active
818,Prod_818,Cat_3,active
819,Prod_819,Cat_4,active
820,Prod_820,Cat_0,inactive
821,Prod_821,Cat_1,active
822,Prod_822,Cat_2,active
823,Prod_823,Cat_3,active
824,Prod_824,Cat_4,active
825,Prod_825,Cat_0,active
826,Prod_826,Cat_1,active
827,Prod_827,Cat_2,active
828,Prod_828,Cat_3,active
829,Prod_829,Cat_4,active
830,Prod_830,Cat_0,inactive
831,Prod_831,Cat_1,active
832,Prod_832,Cat_2,active
833,Prod_833,Cat_3,active
834,Prod_834,Cat_4,active
835,Prod_835,Cat_0,active
836,Prod_836,Cat_1,active
837,Prod_837,Cat_2,active
838,Prod_838,Cat_3,active
839,Prod_839,Cat_4,active
840,Prod_840,Cat_0,inactive
841,Prod_841,Cat_1,active
842,Prod_842,Cat_2,active
843,Prod_843,Cat_3,active
844,Prod_844,Cat_4,active
845,Prod_845,Cat_0,active
846,Prod_846,Cat_1,active
847,Prod_847,Cat_2,active
848,Prod_848,Cat_3,active
849,Prod_849,Cat_4,active
850,Prod_850,Cat_0,inactive
851,Prod_851,Cat_1,active
852,Prod_852,Cat_2,active
853,Prod_853,Cat_3,active
854,Prod_854,Cat_4,active
855,Prod_855,Cat_0,active
856,Prod_856,Cat_1,active
857,Prod_857,Cat_2,active
858,Prod_858,Cat_3,active
859,Prod_859,Cat_4,active
860,Prod_860,Cat_0,inactive
861,Prod_861,Cat_1,active
862,Prod_862,Cat_2,active
